                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0968,                 2.5961,                 1.5205,                0.00368,                      1,                0.32743,                0.17212,                 0.5554,                 3.1348,                 1.1777,                  8e-05,                  8e-05,                  8e-05
                      2,                0.79614,                 2.2669,                 1.3379,                0.00368,                      1,                0.75986,                0.57873,                0.45045,                 3.0183,                 1.0323,             0.00017644,             0.00017644,             0.00017644
                      3,                 0.7354,                 1.6367,                 1.2786,                0.90907,                0.47608,                0.84167,                0.63306,                0.56586,                 2.7996,                  1.162,             0.00026891,             0.00026891,             0.00026891
                      4,                0.66695,                 1.4825,                 1.2961,                0.10412,                      1,                0.88302,                0.67491,                0.65282,                  2.813,                 1.2058,             0.00035743,             0.00035743,             0.00035743
                      5,                0.77267,                 1.3026,                 1.2912,                0.92417,                0.58092,                0.86824,                0.68241,                0.69617,                 2.6547,                 1.2511,             0.00044198,             0.00044198,             0.00044198
                      6,                0.65426,                 1.2118,                 1.1823,                0.75341,                0.80952,                0.87895,                0.60733,                0.68682,                 2.4596,                 1.2164,             0.00052258,             0.00052258,             0.00052258
                      7,                0.81933,                 1.2873,                 1.3691,                0.77859,                0.85714,                0.86554,                0.57696,                0.89844,                 2.5512,                 1.5866,             0.00059922,             0.00059922,             0.00059922
                      8,                0.70247,                 1.4279,                 1.3361,                0.92563,                 0.7619,                0.85938,                0.57395,                0.93347,                 2.7503,                  1.532,             0.00067189,             0.00067189,             0.00067189
                      9,                0.76612,                 1.2539,                 1.2684,                0.84712,                0.79215,                0.84125,                0.58906,                 1.0039,                 2.2521,                 1.8806,             0.00074061,             0.00074061,             0.00074061
                     10,                0.79504,                 1.2866,                 1.3441,                0.88464,                0.73095,                0.84856,                0.58262,                 1.0562,                 2.4094,                 1.7281,             0.00080536,             0.00080536,             0.00080536
                     11,                0.72656,                 1.1332,                 1.2367,                0.76262,                0.47619,                0.61599,                0.39783,                 1.2671,                 2.7508,                 1.7732,             0.00086616,             0.00086616,             0.00086616
                     12,                0.67274,                 1.0965,                 1.1713,                0.76204,                0.45839,                0.56983,                0.37377,                 1.4451,                 2.8835,                 1.9534,               0.000923,               0.000923,               0.000923
                     13,                 0.6774,                 0.9994,                 1.2211,                0.80479,                0.47619,                0.67309,                0.42261,                  1.319,                 2.7405,                 1.9452,             0.00097587,             0.00097587,             0.00097587
                     14,                0.84122,                 1.1692,                  1.326,                 0.4628,                0.33333,                 0.5075,                0.30322,                 1.3805,                  3.189,                 2.0243,              0.0010248,              0.0010248,              0.0010248
                     15,                0.77264,                 1.1877,                 1.2944,                0.64028,                0.42411,                0.59933,                0.30845,                 1.7045,                  3.074,                 2.5133,              0.0010697,              0.0010697,              0.0010697
                     16,                0.73209,                 1.0165,                 1.2174,                0.77705,                0.49877,                0.71252,                0.39085,                 1.4163,                 2.8999,                 2.1211,              0.0011107,              0.0011107,              0.0011107
                     17,                0.79089,                 1.0964,                 1.2682,                0.63582,                 0.7619,                0.71834,                0.45563,                 1.1989,                 2.4654,                 1.6886,              0.0011478,              0.0011478,              0.0011478
                     18,                0.69358,                0.95983,                 1.2197,                0.77567,                0.65898,                0.67262,                0.52632,                 1.1201,                 2.3127,                 1.5035,              0.0011809,              0.0011809,              0.0011809
                     19,                 0.7426,                 1.0426,                 1.2528,                0.81273,                0.66667,                0.75041,                 0.5138,                 1.2256,                 2.1504,                 1.5202,                0.00121,                0.00121,                0.00121
                     20,                0.75723,                 1.0182,                 1.2426,                  0.889,                0.57143,                0.71665,                0.50271,                 1.3409,                 2.0261,                 1.6372,              0.0012351,              0.0012351,              0.0012351
                     21,                0.65475,                0.94964,                 1.1663,                0.65487,                 0.7619,                0.76288,                0.55436,                  1.124,                 2.0523,                 1.4443,               0.001208,               0.001208,               0.001208
                     22,                0.77697,                 1.0278,                 1.2467,                0.84543,                0.78196,                0.87602,                0.69584,                0.96109,                 1.7243,                 1.4294,               0.001208,               0.001208,               0.001208
                     23,                0.70688,                 0.8976,                 1.2281,                      1,                0.74829,                0.88473,                 0.6759,                0.86852,                 1.5922,                 1.2906,              0.0011684,              0.0011684,              0.0011684
                     24,                 0.6893,                0.93413,                 1.1726,                0.85197,                0.66667,                0.78138,                0.53094,                  1.073,                 1.9459,                 1.4848,              0.0011288,              0.0011288,              0.0011288
                     25,                0.69904,                0.89397,                 1.2353,                0.96548,                 0.7619,                0.82362,                0.53165,                 1.0803,                 2.1767,                 1.5742,              0.0010892,              0.0010892,              0.0010892
                     26,                0.81494,                 1.4053,                 1.3903,                0.87653,                 0.7619,                0.82042,                0.54765,                 1.1284,                 1.8489,                 1.7551,              0.0010496,              0.0010496,              0.0010496
                     27,                0.71603,                0.99601,                 1.2255,                0.93291,                0.66242,                0.77636,                0.46898,                 1.2709,                 2.0242,                 2.0304,                0.00101,                0.00101,                0.00101
                     28,                0.68344,                 0.9191,                 1.2208,                0.93954,                0.74067,                0.85508,                0.59812,                0.83865,                 1.7248,                   1.41,              0.0009704,              0.0009704,              0.0009704
                     29,                0.73535,                0.91304,                 1.2713,                0.98408,                0.71429,                0.83411,                0.64717,                0.79007,                 1.6684,                 1.2969,              0.0009308,              0.0009308,              0.0009308
                     30,                0.77027,                0.97171,                 1.2403,                 0.9832,                0.71429,                0.80649,                0.66207,                0.88966,                  1.537,                 1.3044,              0.0008912,              0.0008912,              0.0008912
                     31,                0.72086,                0.88925,                 1.2564,                0.94204,                0.77447,                0.82431,                0.66875,                0.89512,                  1.546,                 1.3557,              0.0008516,              0.0008516,              0.0008516
                     32,                0.69547,                0.93297,                 1.2161,                0.93849,                 0.7619,                0.84585,                0.62957,                0.96596,                 1.6109,                  1.379,               0.000812,               0.000812,               0.000812
                     33,                 0.6564,                0.79266,                 1.1668,                0.94346,                0.79521,                0.86166,                0.63251,                0.93681,                 1.6794,                 1.3216,              0.0007724,              0.0007724,              0.0007724
                     34,                0.69295,                0.84894,                 1.2639,                0.89096,                0.77874,                0.86883,                0.65285,                0.88914,                 1.7253,                 1.2766,              0.0007328,              0.0007328,              0.0007328
                     35,                0.62173,                0.82128,                 1.1522,                0.94614,                0.83719,                0.90306,                0.66591,                0.78963,                 1.7361,                 1.2288,              0.0006932,              0.0006932,              0.0006932
                     36,                0.69244,                 0.9439,                 1.2567,                0.84223,                0.80952,                0.90504,                 0.6838,                0.71009,                 1.6004,                  1.142,              0.0006536,              0.0006536,              0.0006536
                     37,                0.63928,                0.91143,                 1.1849,                0.90808,                0.80952,                0.91991,                0.70772,                0.82176,                 1.3871,                 1.2228,               0.000614,               0.000614,               0.000614
                     38,                 0.6005,                0.74331,                 1.1361,                0.92951,                0.80952,                0.93232,                0.71296,                0.85296,                   1.32,                 1.2442,              0.0005744,              0.0005744,              0.0005744
                     39,                 0.5961,                0.73366,                 1.1579,                0.86928,                0.95238,                0.97014,                0.69565,                0.86277,                 1.2342,                 1.2538,              0.0005348,              0.0005348,              0.0005348
                     40,                0.64259,                0.74131,                 1.1485,                  0.952,                0.94486,                0.97411,                0.72163,                0.87558,                 1.1111,                 1.3505,              0.0004952,              0.0004952,              0.0004952
                     41,                0.55675,                 1.2879,                 1.2137,                0.90357,                0.95238,                0.96879,                0.74415,                0.81678,                 1.0889,                 1.3244,              0.0004556,              0.0004556,              0.0004556
                     42,                0.44667,                 1.0987,                 1.0972,                0.98432,                0.80952,                  0.871,                0.72097,                0.81148,                 1.1581,                  1.332,               0.000416,               0.000416,               0.000416
                     43,                 0.4985,                 1.0411,                 1.0978,                      1,                0.85135,                0.87471,                0.68873,                0.83657,                  1.219,                 1.4278,              0.0003764,              0.0003764,              0.0003764
                     44,                0.44671,                0.99523,                 1.0513,                0.99449,                0.85714,                0.85719,                0.64617,                0.84254,                  1.245,                 1.4863,              0.0003368,              0.0003368,              0.0003368
                     45,                0.43018,                0.91415,                 1.0689,                0.99045,                0.85714,                0.87353,                0.65003,                 0.8633,                 1.2724,                 1.5168,              0.0002972,              0.0002972,              0.0002972
                     46,                 0.4101,                0.89248,                 1.0718,                0.93862,                0.80952,                0.84918,                0.64198,                0.86315,                 1.2826,                 1.5005,              0.0002576,              0.0002576,              0.0002576
                     47,                0.45062,                0.91108,                 1.1571,                0.93821,                0.80952,                0.90755,                0.68044,                0.88453,                 1.2732,                 1.4745,               0.000218,               0.000218,               0.000218
                     48,                0.38836,                0.89744,                 1.0675,                      1,                0.85491,                0.95066,                  0.715,                0.75991,                 1.1827,                 1.2963,              0.0001784,              0.0001784,              0.0001784
                     49,                0.40625,                0.83283,                 1.0456,                0.90455,                0.95238,                0.95282,                 0.7513,                 0.7357,                 1.0909,                 1.2443,              0.0001388,              0.0001388,              0.0001388
                     50,                0.37559,                0.78923,                 1.0298,                0.90297,                0.95238,                0.95739,                0.76353,                 0.6996,                 1.0616,                 1.1771,               9.92e-05,               9.92e-05,               9.92e-05
